Sales,Customer Name,Commodity,HS Code,,,,,,,,,,,,,,,,,,,,,,,
P'POK,MITSUBISHI HEAVY INDUSTRIES,AIR CONDITIONER PARTS,841510,,,,,,,,,,,,,,,,,,,,,,,
P'POK,SUMITOMO RUBBER,NEW TYRES,401111,,,,,,,,,,,,,,,,,,,,,,,
NUNG,ASAHI-THAI ALLOY,STEEL/IRON/STAINLESS/METAL PRODUCTS,848180,,,,,,,,,,,,,,,,,,,,,,,
NUNG,ASIA DRINK,FISHING NET,560790,,,,,,,,,,,,,,,,,,,,,,,
NUNG,ASIA FISHERY INDUSTRY,FISHING NET,560790,,,,,,,,,,,,,,,,,,,,,,,
NUNG,ADITYA BIRLA CHEMICALS (THAILAND) LTD. (ADVANCED MATERIALS),"RESIN (PE,PP,PVC,VINYL)",390730000,,,,,,,,,,,,,,,,,,,,,,,
NUNG,ADITYA BIRLA CHEMICALS (THAILAND) LTD. (SULPHITES DIVISION),CHEMICAL ( NON HAZARDOUS) (SULPHITES),283210,,,,,,,,,,,,,,,,,,,,,,,
NUNG,ADITYA BIRLA CHEMICALS (THAILAND) LTD. (PHOSPHATES DIVISION),CHEMICAL ( NON HAZARDOUS) (PHOSPHATES),283531,,,,,,,,,,,,,,,,,,,,,,,
NUNG,"AMATA INTEER AUTO CO.,LTD.",CAR BUMPER,870810,,?,,,,,,,,,,,,,,,,,,,,,
NUNG,BIRLA CARBON,RUBBER PRODUCTS (CARBON BLACK),28030041,,,,,,,,,,,,,,,,,,,,,,,
NUNG,DOUBLE A,PRINTED MATERIAL & PAPER PRODUCT,480256,,,,,,,,,,,,,,,,,,,,,,,
NUNG,EVONIK UNITED SILICA (SIAM) LTD.,SILICA,281122,,,,,,,,,,,,,,,,,,,,,,,
NUNG,INOUE RUBBER (THAILAND),RUBBER PRODUCTS,401140,,,,,,,,,,,,,,,,,,,,,,,
NUNG,INDO-THAI SYNTHETICS,FIBER AND YARN,55033000,,,,,,,,,,,,,,,,,,,,,,,
NUNG,LION CORPORATION(THAILAND) LIMITED.,DISHWASHING LIQUID/Baby Powder,34022095/34013000,,,,,,,,,,,,,,,,,,,,,,,
NUNG,"PAP PROSPERITY CO.,LTD.",AUTO PARTS,87049010,,,,,,,,,,,,,,,,,,,,,,,
NUNG,"PR PRIME SUPPLY CO.,LTD",AUTO PARTS,87049010,,,,,,,,,,,,,,,,,,,,,,,
NUNG,PTT PHENOL COMPANY LIMITED,BISPHENOL-A,29072300,,,,,,,,,,,,,,,,,,,,,,,
NUNG,SOUTHEAST ASIAN PACKAGING AND CANNING,CANNED FOOD,160414,,,,,,,,,,,,,,,,,,,,,,,
